fare_id,route_id,origin_id,destination_id
1,1203,250,354
1,1203,250,354
1,1203,250,354
1,1203,250,354
1,1203,250,354
1,1203,250,354
1,1203,250,354
1,1203,250,354
1,1203,250,354
1,1203,250,354
1,1203,250,354
1,1203,250,354
1,1203,250,354
1,1203,250,354
1,1203,250,354
1,1203,250,380
1,1203,250,380
1,1203,250,380
1,1203,250,380
1,1203,250,380
1,1203,250,380
1,1203,250,380
1,1203,250,380
1,1203,250,380
1,1203,250,380
1,1203,250,380
1,1203,250,380
1,1203,250,380
1,1203,250,380
1,1203,250,380
1,1203,250,384
1,1203,250,384
1,1203,250,384
1,1203,250,384
1,1203,250,384
1,1203,250,384
1,1203,250,384
1,1203,250,384
1,1203,250,384
1,1203,250,384
1,1203,250,384
1,1203,250,384
1,1203,250,384
1,1203,250,384
1,1203,250,384
1,1203,274,241
1,1203,274,241
1,1203,274,377
1,1203,274,377
1,1203,283,298
1,1203,283,298
1,1203,283,298
1,1203,283,298
1,1203,283,298
1,1203,283,298
1,1203,283,298
1,1203,283,298
1,1203,283,298
1,1203,283,298
1,1203,283,298
1,1203,283,298
1,1203,283,298
1,1203,283,298
1,1203,283,298
1,1203,283,367
1,1203,283,367
1,1203,283,367
1,1203,283,367
1,1203,283,367
1,1203,283,367
1,1203,283,367
1,1203,283,367
1,1203,283,367
1,1203,283,367
1,1203,283,367
1,1203,283,367
1,1203,283,367
1,1203,283,367
1,1203,283,367
1,1203,298,367
1,1203,298,367
1,1203,298,367
1,1203,298,367
1,1203,298,367
1,1203,298,367
1,1203,298,367
1,1203,298,367
1,1203,298,367
1,1203,298,367
1,1203,298,367
1,1203,298,367
1,1203,298,367
1,1203,298,367
1,1203,298,367
1,1203,299,339
1,1203,299,339
1,1203,299,339
1,1203,299,339
1,1203,299,339
1,1203,299,339
1,1203,299,339
1,1203,299,339
1,1203,299,339
1,1203,299,339
1,1203,299,339
1,1203,299,339
1,1203,299,339
1,1203,299,339
1,1203,299,339
1,1203,299,343
1,1203,299,343
1,1203,299,343
1,1203,299,343
1,1203,299,343
1,1203,299,343
1,1203,299,343
1,1203,299,343
1,1203,299,343
1,1203,299,343
1,1203,299,343
1,1203,299,343
1,1203,299,343
1,1203,299,343
1,1203,299,343
1,1203,299,354
1,1203,299,354
1,1203,299,354
1,1203,299,354
1,1203,299,354
1,1203,299,354
1,1203,299,354
1,1203,299,354
1,1203,299,354
1,1203,299,354
1,1203,299,354
1,1203,299,354
1,1203,299,354
1,1203,299,354
1,1203,299,354
1,1203,330,203
1,1203,330,203
1,1203,330,203
1,1203,330,203
1,1203,330,203
1,1203,330,203
1,1203,330,203
1,1203,330,203
1,1203,330,203
1,1203,330,203
1,1203,330,203
1,1203,330,203
1,1203,330,203
1,1203,330,203
1,1203,330,203
1,1203,331,241
1,1203,331,241
1,1203,331,245
1,1203,331,245
1,1203,331,245
1,1203,331,245
1,1203,331,245
1,1203,331,245
1,1203,331,245
1,1203,331,245
1,1203,331,245
1,1203,331,245
1,1203,331,245
1,1203,331,245
1,1203,331,245
1,1203,331,245
1,1203,331,245
1,1203,331,274
1,1203,331,274
1,1203,331,274
1,1203,331,274
1,1203,331,274
1,1203,331,274
1,1203,331,274
1,1203,331,274
1,1203,331,274
1,1203,331,377
1,1203,331,377
1,1203,331,421
1,1203,331,421
1,1203,331,421
1,1203,331,421
1,1203,331,421
1,1203,331,421
1,1203,331,421
1,1203,331,421
1,1203,331,421
1,1203,331,421
1,1203,331,421
1,1203,331,421
1,1203,331,421
1,1203,331,421
1,1203,331,421
1,1203,339,354
1,1203,339,354
1,1203,339,354
1,1203,339,354
1,1203,339,354
1,1203,339,354
1,1203,339,354
1,1203,339,354
1,1203,339,354
1,1203,339,354
1,1203,339,354
1,1203,339,354
1,1203,339,354
1,1203,339,354
1,1203,339,354
1,1203,343,339
1,1203,343,339
1,1203,343,339
1,1203,343,339
1,1203,343,339
1,1203,343,339
1,1203,343,339
1,1203,343,339
1,1203,343,339
1,1203,343,339
1,1203,343,339
1,1203,343,339
1,1203,343,339
1,1203,343,339
1,1203,343,339
1,1203,343,354
1,1203,343,354
1,1203,343,354
1,1203,343,354
1,1203,343,354
1,1203,343,354
1,1203,343,354
1,1203,343,354
1,1203,343,354
1,1203,343,354
1,1203,343,354
